Ticker,Date,Open,High,Low,Close,Change,% Change,Volume
FPT,14/03/2025,135600.0,136300.0,130800.0,131400.0,-5100.0,-0.0373626373626373,16094000
FPT,13/03/2025,136100.0,138000.0,136100.0,136500.0,600.0,0.0044150110375276,3610200
FPT,12/03/2025,137700.0,138700.0,135900.0,135900.0,-1600.0,-0.0116363636363636,6185000
FPT,11/03/2025,138000.0,138500.0,137000.0,137500.0,-1800.0,-0.0129217516152189,5784400
FPT,10/03/2025,141500.0,141500.0,139200.0,139300.0,-2100.0,-0.0148514851485148,5323000
FPT,07/03/2025,141700.0,142700.0,141100.0,141400.0,-200.0,-0.001412429378531,2954500
FPT,06/03/2025,139500.0,143500.0,139500.0,141600.0,2500.0,0.0179726815240834,6417100
FPT,05/03/2025,140000.0,140100.0,139100.0,139100.0,-900.0,-0.0064285714285714,2851100
FPT,04/03/2025,139500.0,140600.0,139300.0,140000.0,-500.0,-0.0035587188612099,3471300
FPT,03/03/2025,140500.0,141400.0,140300.0,140500.0,200.0,0.0014255167498218,2533900
FPT,28/02/2025,140100.0,141100.0,139000.0,140300.0,-1000.0,-0.0070771408351025,4694400
FPT,27/02/2025,142000.0,142200.0,140700.0,141300.0,-500.0,-0.0035260930888575,3421700
FPT,26/02/2025,139100.0,141800.0,138900.0,141800.0,2800.0,0.0201438848920862,3323400
FPT,25/02/2025,140400.0,140400.0,138200.0,139000.0,-1500.0,-0.0106761565836298,6810400
FPT,24/02/2025,142000.0,142000.0,139500.0,140500.0,-1500.0,-0.0105633802816901,7497900
FPT,21/02/2025,142800.0,142900.0,141500.0,142000.0,-1000.0,-0.0069930069930069,5312600
FPT,20/02/2025,144200.0,144600.0,143000.0,143000.0,-1000.0,-0.0069444444444444,3385400
FPT,19/02/2025,143900.0,144900.0,143100.0,144000.0,100.0,0.0006949270326614,3029800
FPT,18/02/2025,143800.0,144400.0,143100.0,143900.0,300.0,0.0020891364902506,1664400
FPT,17/02/2025,145000.0,145000.0,143400.0,143600.0,-1300.0,-0.0089717046238785,2466300
FPT,14/02/2025,144000.0,145000.0,143600.0,144900.0,1800.0,0.0125786163522012,3251700
FPT,13/02/2025,145000.0,145000.0,142700.0,143100.0,-1900.0,-0.013103448275862,2850800
FPT,12/02/2025,145600.0,145700.0,144300.0,145000.0,-400.0,-0.0027510316368638,1887400
FPT,11/02/2025,142200.0,145400.0,140100.0,145400.0,3400.0,0.0239436619718309,5361400
