STT;Mã;Tên;Lĩnh vực;Cơ quan công bố
607;1.004734.H24;"Cấp lại Chứng chỉ hành nghề thú y (trong trường hợp bị mất, sai sót, hư hỏng; có thay đổi thông tin liên quan đến cá nhân đã được cấp Chứng chỉ hành nghề thú y)";Thú y;UBND Thành phố Hải Phòng
608;1.005319.000.00.00.H24;"Cấp lại Chứng chỉ hành nghề thú y (trong trường hợp bị mất, sai sót, hư hỏng; có thay đổi thông tin liên quan đến cá nhân đã được cấp Chứng chỉ hành nghề thú y) - Cấp Tỉnh";Thú y;UBND Thành phố Hải Phòng
609;1.000802.H24;Cấp lại Chứng chỉ hành nghề đấu giá;Đấu giá tài sản;UBND Thành phố Hải Phòng
610;2.001240.000.00.00.H24;Cấp lại Cấp Giấy phép bán lẻ rượu;Lưu thông hàng hóa trong nước;UBND Thành phố Hải Phòng
611;1.013894.H24;Cấp lại Giấy Tiếp nhận bản công bố hợp quy đối với thuốc lá;Phòng bệnh;UBND Thành phố Hải Phòng
612;1.011477.000.00.00.H24;Cấp lại Giấy chứng nhận cơ sở an toàn dịch bệnh động vật (trừ cơ sở an toàn dịch bệnh theo yêu cầu của nước nhập khẩu);Thú y;UBND Thành phố Hải Phòng
613;1.003726.H24;Cấp lại Giấy chứng nhận cơ sở đủ điều kiện đăng kiểm tàu cá;Thủy sản;UBND Thành phố Hải Phòng
614;2.000647.000.00.00.H24;Cấp lại Giấy chứng nhận cửa hàng đủ điều kiện bán lẻ xăng dầu;Lưu thông hàng hóa trong nước;UBND Thành phố Hải Phòng
615;1.012786.000.00.00.H24;Cấp lại Giấy chứng nhận do bị mất;Đất đai;UBND Thành phố Hải Phòng
616;1.004993.000.00.00.H24;Cấp lại Giấy chứng nhận giáo viên dạy thực hành lái xe;Đường bộ;UBND Thành phố Hải Phòng
617;2.000172.000.00.00.H24;Cấp lại Giấy chứng nhận huấn luyện kỹ thuật an toàn tiền chất thuốc nổ thuộc thẩm quyền của Sở Công Thương;Vật liệu nổ công nghiệp, tiền chất thuốc nổ;UBND Thành phố Hải Phòng
618;1.013092.H24;Cấp lại Giấy chứng nhận kiểm định, Tem kiểm định an toàn kỹ thuật và bảo vệ môi trường cho xe cơ giới (trừ xe mô tô, xe gắn máy), xe máy chuyên dùng;Đăng kiểm;UBND Thành phố Hải Phòng
619;1.012004.000.00.00.H24;Cấp lại Giấy chứng nhận tổ chức giám định quyền đối với giống cây trồng;Trồng trọt;UBND Thành phố Hải Phòng
620;1.011479.000.00.00.H24;Cấp lại Giấy chứng nhận vùng an toàn dịch bệnh động vật (trừ vùng an toàn dịch bệnh cấp tỉnh và vùng an toàn dịch bệnh phục vụ xuất khẩu);Thú y;UBND Thành phố Hải Phòng
621;1.001383.H24;Cấp lại Giấy chứng nhận xuất xứ hàng hoá (C/O);Xuất nhập khẩu;UBND Thành phố Hải Phòng
622;2.002018.000.00.00.H24;Cấp lại Giấy chứng nhận đăng ký doanh nghiệp, Giấy xác nhận về việc thay đổi nội dung đăng ký doanh nghiệp do bị mất, cháy, rách, nát hoặc bị tiêu hủy dưới hình thức khác;Thành lập và hoạt động của doanh nghiệp;UBND Thành phố Hải Phòng
623;2.000624.H24;Cấp lại Giấy chứng nhận đăng ký hoạt động chứng nhận;Tiêu chuẩn đo lường chất lượng;UBND Thành phố Hải Phòng
624;2.001665.H24;Cấp lại Giấy chứng nhận đăng ký hoạt động kiểm định;Tiêu chuẩn đo lường chất lượng;UBND Thành phố Hải Phòng
625;2.000613.H24;Cấp lại Giấy chứng nhận đăng ký hoạt động thử nghiệm;Tiêu chuẩn đo lường chất lượng;UBND Thành phố Hải Phòng
626;2.000575.000.00.00.H24;Cấp lại Giấy chứng nhận đăng ký hộ kinh doanh, Cấp đổi sang Giấy chứng nhận đăng ký hộ kinh doanh;Thành lập và hoạt động doanh nghiệp (hộ kinh doanh);UBND Thành phố Hải Phòng
627;2.001973.000.00.00.H24;Cấp lại Giấy chứng nhận đăng ký hợp tác xã, Giấy chứng nhận đăng ký hoạt động chi nhánh, văn phòng đại diện, Giấy chứng nhận đăng ký địa điểm kinh doanh của hợp tác xã, liên hiệp hợp tác xã;Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã;UBND Thành phố Hải Phòng
628;1.003930.000.00.00.H24;Cấp lại Giấy chứng nhận đăng ký phương tiện;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
629;1.004844.H24;Cấp lại Giấy chứng nhận đăng ký phương tiện giao thông đường sắt;Đường sắt;UBND Thành phố Hải Phòng
630;2.001212.000.00.00.H24;Cấp lại Giấy chứng nhận đăng ký phương tiện hoạt động vui chơi, giải trí dưới nước;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
631;2.002638.000.00.00.H24;Cấp lại Giấy chứng nhận đăng ký tổ hợp tác do bị mất, cháy, rách, nát hoặc bị tiêu hủy;Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã;UBND Thành phố Hải Phòng
632;2.000115.H24;Cấp lại Giấy chứng nhận đủ điều kiện an toàn thực phẩm đối với cơ sở kinh doanh thực phẩm;An toàn thực phẩm;UBND Thành phố Hải Phòng
633;2.000535.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện an toàn thực phẩm đối với cơ sở sản xuất, kinh doanh thực phẩm;An toàn thực phẩm;UBND Thành phố Hải Phòng
634;1.007932.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện buôn bán phân bón;Trồng trọt và Bảo vệ thực vật;UBND Thành phố Hải Phòng
635;1.004346.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện buôn bán thuốc bảo vệ thực vật;Trồng trọt và Bảo vệ thực vật;UBND Thành phố Hải Phòng
636;1.004839.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện buôn bán thuốc thú y;Thú y;UBND Thành phố Hải Phòng
637;1.008129.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện chăn nuôi đối với chăn nuôi trang trại quy mô lớn;Chăn nuôi;UBND Thành phố Hải Phòng
638;2.001270.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện cửa hàng bán lẻ LPG chai;Kinh doanh khí;UBND Thành phố Hải Phòng
639;1.013110.H24;Cấp lại Giấy chứng nhận đủ điều kiện hoạt động kiểm định khí thải xe mô tô, xe gắn máy;Đăng kiểm;UBND Thành phố Hải Phòng
640;1.001296.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện hoạt động kiểm định xe cơ giới;Đăng kiểm;UBND Thành phố Hải Phòng
641;1.011708.H24;Cấp lại Giấy chứng nhận đủ điều kiện hoạt động thí nghiệm chuyên ngành xây dựng (còn thời hạn nhưng bị mất hoặc hư hỏng hoặc bị ghi sai thông tin hoặc tổ chức hoạt động thí nghiệm chuyên ngành xây dựng xin dừng thực hiện một số chỉ tiêu trong Giấy chứng nhận đủ điều kiện hoạt động thí nghiệm chuyên ngành xây dựng);Thí nghiệm chuyên ngành xây dựng;UBND Thành phố Hải Phòng
642;1.002373.H24;"Cấp lại Giấy chứng nhận đủ điều kiện nhập khẩu thuốc thú y (trong trường hợp bị mất, sai sót, hư hỏng; thay đổi thông tin có liên quan đến tổ chức đăng ký)";Thú y;UBND Thành phố Hải Phòng
643;1.000709.H24;Cấp lại Giấy chứng nhận đủ điều kiện sản xuất chai LPG mini;Kinh doanh khí;UBND Thành phố Hải Phòng
644;1.003064.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện sản xuất mỹ phẩm;Mỹ phẩm;UBND Thành phố Hải Phòng
645;1.007928.H24;Cấp lại Giấy chứng nhận đủ điều kiện sản xuất phân bón;Trồng trọt và Bảo vệ thực vật;UBND Thành phố Hải Phòng
646;1.011032.H24;Cấp lại Giấy chứng nhận đủ điều kiện sản xuất sản phẩm xử lý chất thải chăn nuôi;Chăn nuôi;UBND Thành phố Hải Phòng
647;1.002432.H24;"Cấp lại Giấy chứng nhận đủ điều kiện sản xuất thuốc thú y trong trường hợp bị mất, sai sót, hư hỏng; thay đổi thông tin có liên quan đến tổ chức đăng ký (trừ sản xuất thuốc thú y dạng dược phẩm, vắc xin)";Thú y;UBND Thành phố Hải Phòng
648;1.008127.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện sản xuất thức ăn chăn nuôi.;Chăn nuôi;UBND Thành phố Hải Phòng
649;1.000455.H24;Cấp lại Giấy chứng nhận đủ điều kiện sản xuất, sửa chữa chai LPG;Kinh doanh khí;UBND Thành phố Hải Phòng
650;2.000279.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện thương nhân kinh doanh mua bán CNG;Kinh doanh khí;UBND Thành phố Hải Phòng
651;2.000156.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện thương nhân kinh doanh mua bán LNG;Kinh doanh khí;UBND Thành phố Hải Phòng
652;2.000136.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện thương nhân kinh doanh mua bán LPG;Kinh doanh khí;UBND Thành phố Hải Phòng
653;1.000387.H24;Cấp lại Giấy chứng nhận đủ điều kiện thương nhân xuất khẩu, nhập khẩu CNG;Kinh doanh khí;UBND Thành phố Hải Phòng
654;1.005372.H24;Cấp lại Giấy chứng nhận đủ điều kiện thương nhân xuất khẩu, nhập khẩu LNG;Kinh doanh khí;UBND Thành phố Hải Phòng
655;1.000510.H24;Cấp lại Giấy chứng nhận đủ điều kiện thương nhân xuất khẩu, nhập khẩu LPG;Kinh doanh khí;UBND Thành phố Hải Phòng
656;1.000444.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện trạm nạp CNG vào phương tiện vận tải;Kinh doanh khí;UBND Thành phố Hải Phòng
657;2.000376.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện trạm nạp LNG vào phương tiện vận tải;Kinh doanh khí;UBND Thành phố Hải Phòng
658;2.000207.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện trạm nạp LPG vào chai;Kinh doanh khí;UBND Thành phố Hải Phòng
659;1.000425.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện trạm nạp LPG vào phương tiện vận tải;Kinh doanh khí;UBND Thành phố Hải Phòng
660;2.000187.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện trạm nạp LPG vào xe bồn;Kinh doanh khí;UBND Thành phố Hải Phòng
661;2.001551.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện về an ninh, trật tự (thực hiện tại cấp tỉnh);Quản lý ngành nghề đầu tư, kinh doanh có điều kiện về an ninh, trật tự;UBND Thành phố Hải Phòng
662;2.000640.000.00.00.H24;Cấp lại Giấy chứng nhận đủ điều kiện đầu tư trồng cây thuốc lá;Lưu thông hàng hóa trong nước;UBND Thành phố Hải Phòng
663;1.014332.H24;Cấp lại Giấy chứng sinh;Dân số, Bà mẹ - Trẻ em;UBND Thành phố Hải Phòng
664;2.000636.000.00.00.H24;Cấp lại Giấy phép bán buôn rượu trên địa bàn tỉnh, thành phố trực thuộc trung ương;Lưu thông hàng hóa trong nước;UBND Thành phố Hải Phòng
665;2.000167.000.00.00.H24;Cấp lại Giấy phép bán buôn sản phẩm thuốc lá;Lưu thông hàng hóa trong nước;UBND Thành phố Hải Phòng
666;2.000150.000.00.00.H24;Cấp lại Giấy phép bán lẻ sản phẩm thuốc lá;Lưu thông hàng hóa trong nước;UBND Thành phố Hải Phòng
667;1.000948.H24;Cấp lại Giấy phép chế biến nguyên liệu thuốc lá;Công nghiệp tiêu dùng;UBND Thành phố Hải Phòng
668;1.000448.000.00.00.H24;Cấp lại Giấy phép hoạt động cho thuê lại lao động;Lao động, tiền lương;UBND Thành phố Hải Phòng
669;1.006780.000.00.00.H24;Cấp lại Giấy phép hoạt động đối với trạm, điểm sơ cấp cứu chữ thập đỏ do mất, rách, hỏng;Khám bệnh, chữa bệnh;UBND Thành phố Hải Phòng
670;2.000552.000.00.00.H24;Cấp lại Giấy phép hoạt động đối với trạm, điểm sơ cấp cứu chữ thập đỏ khi thay đổi địa điểm;Khám bệnh, chữa bệnh;UBND Thành phố Hải Phòng
671;2.000340.000.00.00.H24;Cấp lại Giấy phép kinh doanh cho tổ chức kinh tế có vốn đầu tư nước ngoài;Thương mại quốc tế;UBND Thành phố Hải Phòng
672;1.012439.H24;Cấp lại Giấy phép kinh doanh hoá chất Bảng 2, hoá chất Bảng 3;Hóa chất;UBND Thành phố Hải Phòng
673;2.002286.000.00.00.H24;Cấp lại Giấy phép kinh doanh vận tải bằng xe ô tô, bằng xe bốn bánh có gắn động cơ khi có sự thay đổi liên quan đến nội dung của Giấy phép kinh doanh hoặc Giấy phép kinh doanh bị thu hồi;Đường bộ;UBND Thành phố Hải Phòng
674;2.002287.000.00.00.H24;Cấp lại Giấy phép kinh doanh vận tải bằng xe ô tô, bằng xe bốn bánh có gắn động cơ trường hợp Giấy phép kinh doanh bị mất, bị hỏng;Đường bộ;UBND Thành phố Hải Phòng
675;2.000665.000.00.00.H24;Cấp lại Giấy phép lập cơ sở bán lẻ;Thương mại quốc tế;UBND Thành phố Hải Phòng
676;2.000622.000.00.00.H24;Cấp lại Giấy phép mua bán nguyên liệu thuốc lá;Lưu thông hàng hóa trong nước;UBND Thành phố Hải Phòng
677;1.003101.H24;Cấp lại Giấy phép phân phối rượu;Lưu thông hàng hóa trong nước;UBND Thành phố Hải Phòng
678;2.000598.H24;Cấp lại Giấy phép phân phối sản phẩm thuốc lá;Lưu thông hàng hóa trong nước;UBND Thành phố Hải Phòng
679;2.001630.000.00.00.H24;Cấp lại Giấy phép sản xuất rượu công nghiệp (quy mô dưới 3 triệu lít/năm);Lưu thông hàng hóa trong nước;UBND Thành phố Hải Phòng
680;1.003992.H24;Cấp lại Giấy phép sản xuất rượu công nghiệp (quy mô từ 3 triệu lít/năm trở lên);Lưu thông hàng hóa trong nước;UBND Thành phố Hải Phòng
681;1.001279.000.00.00.H24;Cấp lại Giấy phép sản xuất rượu thủ công nhằm mục đích kinh doanh;Lưu thông hàng hóa trong nước;UBND Thành phố Hải Phòng
682;1.012442.H24;Cấp lại Giấy phép sản xuất và kinh doanh hóa chất Bảng 2, Bảng 3;Hóa chất;UBND Thành phố Hải Phòng
683;2.001433.000.00.00.H24;Cấp lại Giấy phép sử dụng vật liệu nổ công nghiệp thuộc thẩm quyền giải quyết của Ủy ban nhân dân cấp tỉnh;Vật liệu nổ công nghiệp, tiền chất thuốc nổ;UBND Thành phố Hải Phòng
684;1.000361.H24;Cấp lại Giấy phép thành lập Chi nhánh của thương nhân nước ngoài tại Việt Nam;Thương mại quốc tế;UBND Thành phố Hải Phòng
685;1.008908.H24;Cấp lại Giấy phép thành lập Trung tâm hòa giải thương mại, Giấy phép thành lập chi nhánh, văn phòng đại diện của tổ chức hòa giải thương mại nước ngoài tại Việt Nam;Hòa giải thương mại;UBND Thành phố Hải Phòng
686;2.000450.000.00.00.H24;Cấp lại Giấy phép thành lập Văn phòng đại diện của thương nhân nước ngoài tại Việt Nam;Thương mại quốc tế;UBND Thành phố Hải Phòng
687;2.002606.000.00.00.H24;Cấp lại Giấy phép thành lập Văn phòng đại diện của tổ chức xúc tiến thương mại nước ngoài tại Việt Nam.;Xúc tiến thương mại;UBND Thành phố Hải Phòng
688;1.008888.H24;Cấp lại Giấy phép thành lập của Trung tâm trọng tài, Chi nhánh, Văn phòng đại diện của Tổ chức trọng tài nước ngoài tại Việt Nam;Trọng tài thương mại;UBND Thành phố Hải Phòng
689;2.002617.000.00.00.H24;Cấp lại Giấy phép vận chuyển hàng hóa nguy hiểm bằng phương tiện thủy nội địa do bị mất, bị hỏng;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
690;1.013261.H24;Cấp lại Giấy phép vận chuyển hàng hóa nguy hiểm trên đường bộ;Đường bộ;UBND Thành phố Hải Phòng
691;1.004259.000.00.00.H24;Cấp lại Giấy phép vận tải qua biên giới;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
692;1.002357.000.00.00.H24;Cấp lại Giấy phép vận tải đường bộ quốc tế giữa Việt Nam và Trung Quốc loại A, B, C, E, F, G cho phương tiện của Việt Nam;Đường bộ;UBND Thành phố Hải Phòng
693;3.000180.H24;Cấp lại Giấy phép xuất khẩu, nhập khẩu giống cây trồng lâm nghiệp do bị mất, bị hỏng;Lâm nghiệp;UBND Thành phố Hải Phòng
694;1.012429.H24;Cấp lại Giấy phép xuất khẩu, nhập khẩu hóa chất Bảng 1;Hóa chất;UBND Thành phố Hải Phòng
695;1.012432.H24;Cấp lại Giấy phép xuất khẩu, nhập khẩu hóa chất Bảng 2, hóa chất Bảng 3;Hóa chất;UBND Thành phố Hải Phòng
696;1.005210.000.00.00.H24;Cấp lại Giấy phép đào tạo lái xe ô tô khi bị mất, bị hỏng, có sự thay đổi về tên của cơ sở đào tạo;Đường bộ;UBND Thành phố Hải Phòng
697;1.001623.000.00.00.H24;Cấp lại Giấy phép đào tạo lái xe ô tô khi điều chỉnh hạng xe đào tạo, lưu lượng đào tạo và thay đổi địa điểm đào tạo;Đường bộ;UBND Thành phố Hải Phòng
698;2.000664.000.00.00.H24;Cấp lại Giấy xác nhận đủ điều kiện làm tổng đại lý kinh doanh xăng dầu thuộc thẩm quyền cấp của Sở Công Thương;Lưu thông hàng hóa trong nước;UBND Thành phố Hải Phòng
699;2.000672.000.00.00.H24;Cấp lại Giấy xác nhận đủ điều kiện làm đại lý bán lẻ xăng dầu;Lưu thông hàng hóa trong nước;UBND Thành phố Hải Phòng
700;1.008914.000.00.00.H24;Cấp lại Giấy đăng ký hoạt động Trung tâm hòa giải thương mại, chi nhánh Trung tâm hòa giải thương mại, Giấy đăng ký hoạt động của chi nhánh tổ chức hòa giải thương mại nước ngoài tại Việt Nam;Hòa giải thương mại;UBND Thành phố Hải Phòng
701;1.013837.H24;Cấp lại Giấy đăng ký hoạt động cho Văn phòng công chứng do bị mất, hỏng;Công chứng;UBND Thành phố Hải Phòng
702;1.001248.000.00.00.H24;Cấp lại Giấy đăng ký hoạt động của Trung tâm trọng tài, Chi nhánh Trung tâm trọng tài, Chi nhánh của Tổ chức trọng tài nước ngoài tại Việt Nam;Trọng tài thương mại;UBND Thành phố Hải Phòng
703;1.001117.000.00.00.H24;Cấp lại Giấy đăng ký hoạt động của Văn phòng giám định tư pháp trong trường hợp Giấy đăng ký hoạt động bị hư hỏng hoặc bị mất;Giám định tư pháp;UBND Thành phố Hải Phòng
704;2.000555.000.00.00.H24;Cấp lại Giấy đăng ký hoạt động của Văn phòng giám định tư pháp trong trường hợp thay đổi tên gọi, địa chỉ trụ sở, người đại diện theo pháp luật, danh sách thành viên hợp danh của Văn phòng giám định tư pháp;Giám định tư pháp;UBND Thành phố Hải Phòng
705;1.013635.H24;Cấp lại Giấy đăng ký hoạt động của chi nhánh doanh nghiệp đấu giá tài sản;Đấu giá tài sản;UBND Thành phố Hải Phòng
706;1.002368.000.00.00.H24;Cấp lại Giấy đăng ký hoạt động của chi nhánh, công ty luật nước ngoài;Luật sư;UBND Thành phố Hải Phòng
707;2.001258.000.00.00.H24;Cấp lại Giấy đăng ký hoạt động của doanh nghiệp đấu giá tài sản;Đấu giá tài sản;UBND Thành phố Hải Phòng
708;1.013990.H24;Cấp lại Quyết định chỉ định tổ chức đánh giá sự phù hợp;chất lượng sản phẩm hàng hóa;UBND Thành phố Hải Phòng
709;1.008928.000.00.00.H24;Cấp lại Thẻ Thừa phát lại;Thừa phát lại;UBND Thành phố Hải Phòng
710;1.013830.H24;Cấp lại Thẻ công chứng viên;Công chứng;UBND Thành phố Hải Phòng
711;1.012002.000.00.00.H24;Cấp lại Thẻ giám định viên quyền đối với giống cây trồng;Trồng trọt;UBND Thành phố Hải Phòng
712;1.004524.H24;Cấp lại Thẻ hành nghề xử lý vật thể thuộc diện kiểm dịch thực vật;Trồng trọt và Bảo vệ thực vật;UBND Thành phố Hải Phòng
713;2.001117.H24;Cấp lại chứng chỉ hành nghề Quản tài viên;Quản tài viên;UBND Thành phố Hải Phòng
714;1.013217.H24;Cấp lại chứng chỉ hành nghề hoạt động xây dựng;Hoạt động xây dựng;UBND Thành phố Hải Phòng
715;1.012907.H24;Cấp lại chứng chỉ hành nghề môi giới bất động sản (trong trường hợp chứng chỉ bị cháy, bị mất, bị rách, bị hủy hoại do thiên tai hoặc lý do bất khả kháng khác);Kinh doanh bất động sản;UBND Thành phố Hải Phòng
716;1.012910.H24;Cấp lại chứng chỉ hành nghề môi giới bất động sản (trong trường hợp chứng chỉ cũ đã hết hạn hoặc gần hết hạn);Kinh doanh bất động sản;UBND Thành phố Hải Phòng
717;2.000066.H24;Cấp lại chứng chỉ kiểm định viên;An toàn vệ sinh lao động;UBND Thành phố Hải Phòng
718;1.001717.H24;Cấp lại chứng chỉ thẩm tra viên an toàn giao thông đường bộ;Đường bộ;UBND Thành phố Hải Phòng
719;2.000210.000.00.00.H24;Cấp lại chứng nhận huấn luyện kỹ thuật an toàn vật liệu nổ công nghiệp;Vật liệu nổ công nghiệp, tiền chất thuốc nổ;UBND Thành phố Hải Phòng
720;1.001988.H24;Cấp lại giấy chứng nhận cung cấp dịch vụ trò chơi điện tử G2, G3, G4 trên mạng;Phát thanh, truyền hình và thông tin điện tử;UBND Thành phố Hải Phòng
721;1.013893.H24;Cấp lại giấy chứng nhận cơ sở xét nghiệm đạt tiêu chuẩn an toàn sinh học cấp III do bị hỏng, bị mất.;Phòng bệnh;UBND Thành phố Hải Phòng
722;1.013884.H24;Cấp lại giấy chứng nhận cơ sở xét nghiệm đạt tiêu chuẩn an toàn sinh học cấp III do hết hạn.;Phòng bệnh;UBND Thành phố Hải Phòng
723;1.013865.H24;Cấp lại giấy chứng nhận cơ sở xét nghiệm đạt tiêu chuẩn an toàn sinh học cấp III do thay đổi tên của cơ sở xét nghiệm.;Phòng bệnh;UBND Thành phố Hải Phòng
724;1.013873.H24;Cấp lại giấy chứng nhận cơ sở đủ điều kiện xét nghiệm khẳng định HIV dương tính.;Phòng bệnh;UBND Thành phố Hải Phòng
725;1.013097.H24;Cấp lại giấy chứng nhận cải tạo;Đăng kiểm;UBND Thành phố Hải Phòng
726;1.014126.H24;Cấp lại giấy chứng nhận huấn luyện kỹ thuật an toàn trong khai thác khoáng sản;Khoáng sản;UBND Thành phố Hải Phòng
727;1.012417.000.00.00.H24;Cấp lại giấy chứng nhận lương y;Y Dược cổ truyền;UBND Thành phố Hải Phòng
728;1.012419.000.00.00.H24;Cấp lại giấy chứng nhận người có bài thuốc gia truyền, giấy chứng nhận người có phương pháp chữa bệnh gia truyền;Y Dược cổ truyền;UBND Thành phố Hải Phòng
729;1.013917.H24;Cấp lại giấy chứng nhận đăng ký kết nối để cung cấp dịch vụ nội dung thông tin trên mạng viễn thông di động;Viễn thông và Internet;UBND Thành phố Hải Phòng
730;1.003634.000.00.00.H24;Cấp lại giấy chứng nhận đăng ký tàu cá;Thủy sản;UBND Thành phố Hải Phòng
731;1.001123.000.00.00.H24;Cấp lại giấy chứng nhận đủ điều kiện kinh doanh giám định cổ vật;Di sản văn hóa;UBND Thành phố Hải Phòng
732;2.001161.000.00.00.H24;Cấp lại giấy chứng nhận đủ điều kiện kinh doanh hóa chất sản xuất, kinh doanh có điều kiện trong lĩnh vực công nghiệp;Hóa chất;UBND Thành phố Hải Phòng
733;2.001175.000.00.00.H24;Cấp lại giấy chứng nhận đủ điều kiện sản xuất hóa chất sản xuất, kinh doanh có điều kiện trong lĩnh vực công nghiệp;Hóa chất;UBND Thành phố Hải Phòng
734;1.004379.000.00.00.H24;Cấp lại giấy phép bưu chính khi bị mất hoặc hư hỏng không sử dụng được (cấp tỉnh);Bưu chính;UBND Thành phố Hải Phòng
735;1.003633.000.00.00.H24;Cấp lại giấy phép bưu chính khi hết hạn (cấp tỉnh);Bưu chính;UBND Thành phố Hải Phòng
736;1.003921.000.00.00.H24;Cấp lại giấy phép cho các hoạt động trong phạm vi bảo vệ công trình thủy lợi trong trường hợp bị mất, bị rách, hư hỏng thuộc thẩm quyền cấp phép của Chủ tịch UBND cấp tỉnh;Thủy lợi;UBND Thành phố Hải Phòng
737;1.003893.000.00.00.H24;Cấp lại giấy phép cho các hoạt động trong phạm vi bảo vệ công trình thủy lợi trong trường hợp tên chủ giấy phép đã được cấp bị thay đổi do chuyển nhượng, sáp nhập, chia tách, cơ cấu lại tổ chức thuộc thẩm quyền cấp phép của Chủ tịch UBND cấp tỉnh.;Thủy lợi;UBND Thành phố Hải Phòng
738;1.013907.H24;Cấp lại giấy phép cung cấp dịch vụ viễn thông có hạ tầng mạng, loại mạng viễn thông công cộng cố định mặt đất không sử dụng băng tần số vô tuyến điện, không sử dụng số thuê bao viễn thông có phạm vi thiết lập mạng viễn thông trong một tỉnh, thành phố trực thuộc trung ương;Viễn thông và Internet;UBND Thành phố Hải Phòng
739;1.013976.H24;Cấp lại giấy phép cung cấp dịch vụ viễn thông không có hạ tầng mạng, loại hình dịch vụ viễn thông cố định mặt đất (dịch vụ viễn thông cung cấp trên mạng viễn thông cố định mặt đất);Viễn thông và Internet;UBND Thành phố Hải Phòng
740;1.010936.H24;Cấp lại giấy phép hoạt động cai nghiện ma túy tự nguyện;Phòng, chống tệ nạn xã hội;UBND Thành phố Hải Phòng
741;1.012901.H24;Cấp lại giấy phép hoạt động của Sàn giao dịch bất động sản (trong trường hợp Giấy phép bị mất, bị rách, bị cháy, bị tiêu hủy, bị hỏng);Kinh doanh bất động sản;UBND Thành phố Hải Phòng
742;1.012902.H24;Cấp lại giấy phép hoạt động của Sàn giao dịch bất động sản (trong trường hợp thay đổi thông tin của sàn);Kinh doanh bất động sản;UBND Thành phố Hải Phòng
743;1.001853.000.00.00.H24;Cấp lại giấy phép hoạt động dịch vụ việc làm của doanh nghiệp hoạt động dịch vụ việc làm;Việc làm;UBND Thành phố Hải Phòng
744;1.000943.000.00.00.H24;Cấp lại giấy phép hoạt động dự báo, cảnh báo khí tượng thủy văn (cấp tỉnh);Khí tượng, thủy văn;UBND Thành phố Hải Phòng
745;2.001744.000.00.00.H24;Cấp lại giấy phép hoạt động in (cấp địa phương);Xuất Bản, In và Phát hành;UBND Thành phố Hải Phòng
746;2.001584.000.00.00.H24;Cấp lại giấy phép hoạt động in xuất bản phẩm (cấp địa phương);Xuất Bản, In và Phát hành;UBND Thành phố Hải Phòng
747;1.012279.000.00.00.H24;Cấp lại giấy phép hoạt động khám bệnh, chữa bệnh;Khám bệnh, chữa bệnh;UBND Thành phố Hải Phòng
748;1.013420.H24;Cấp lại giấy phép hoạt động điện lực thuộc thẩm quyền cấp của Ủy ban nhân dân cấp tỉnh  trong trường hợp giấy phép bị mất, bị hỏng;Điện;UBND Thành phố Hải Phòng
749;1.013417.H24;Cấp lại giấy phép hoạt động điện lực thuộc thẩm quyền cấp của Ủy ban nhân dân cấp tỉnh (trừ trường hợp giấy phép bị mất, bị hỏng);Điện;UBND Thành phố Hải Phòng
750;1.004253.000.00.00.H24;Cấp lại giấy phép hành nghề khoan nước dưới đất;Tài nguyên nước;UBND Thành phố Hải Phòng
751;1.012272.000.00.00.H24;Cấp lại giấy phép hành nghề đối với chức danh chuyên môn là lương y, người có bài thuốc gia truyền hoặc có phương pháp chữa bệnh gia truyền;Khám bệnh, chữa bệnh;UBND Thành phố Hải Phòng
