Ticker,Period,Net Revenue,Revenue Growth,Gross Profit,Gross Profit Growth,Operating Profit,Operating Profit Growth,Profit Before Tax,Profit Before Tax Growth,Net Profit After Tax,Net Profit After Tax Growth,Total Assets,Total Assets Growth,Current Assets,Current Assets Growth,Non-Current Assets,Non-Current Assets Growth,Current Liabilities,Current Liabilities Growth,Short-term Debt,Short-term Debt Growth,Long-term Liabilities,Long-term Liabilities Growth,Equity,Equity Growth,Charter Capital,Charter Capital Growth,P/E,P/B,EV/EBITDA,EPS (VND/Share),EPS Growth,Book Value (VND/Share),Gross Margin,EBIT Margin,EBITDA Margin,Net Profit Margin,ROE LTM,ROA LTM,Asset Turnover (turns),Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Conversion Cycle,Debt to Equity,"Vay và nợ thuê tài chính ngắn hạn, dài hạn / Vốn chủ sở hữu",Nợ vay ròng / Vốn chủ sở hữu,Tổng tài sản / Vốn chủ sở hữu,Khả năng thanh toán tổng quát,Khả năng thanh toán nhanh,Khả năng thanh toán tức thời,Khả năng thanh toán lãi vay,Vốn hóa (Tỷ đồng),Số lượng cổ phiếu lưu hành (Triệu CP)
FPT,Q4/2024,17607817805892,0.1986,6478973351926,0.1503999999999999,2922046994779,0.2243,2959667491092,0.2153999999999999,2086993221115,0.2075,72013238235529,0.1937,45475495956466,0.2387999999999999,26537742279063,0.1236999999999999,34780312270522,0.1723,14446238451323,0.044,1436299546037.0,1.024,35796626418970,0.1953,14710691830000,0.1583999999999999,26.886180543562205,6.782431874415694,,1418.691415218777,0.0424,20300.156504432056,0.368,0.1757,0.2137,0.1416,0.2866,0.1424,0.252270351133885,0.6358689313180661,233.34417495961247,63.87198038714556,141.75248664154725,155.46366870521078,1.0117,0.4175999999999999,-0.4513,2.0129067120100594,1.9884035149473325,1.254724085521991,0.8942028433727236,27.90116570063349,206391006374900,1471069183
FPT,Q3/2024,15902821715757,0.1556,6158955664406,0.1205,2948226004570,0.2091,2908620633374,0.1974,2088852212408,0.2009,67581587131382,0.088,42605105704316,0.0776999999999999,24976481427066,0.1061,30969636903539,-0.063,14167809581083,-0.2519,1247766001418.0,0.9003,35364184226425,0.245,14604480660000,0.15,27.016817028789184,7.018948776498917,13.725724399992416,1419.955116011699,0.0368,20184.50052365756,0.3873,0.191,0.2314999999999999,0.1559,0.2816,0.1384,0.2393780554017708,0.592268056368934,255.61872092890692,73.84438006217755,143.22001360851525,186.24308738256929,0.911,0.4140999999999999,-0.36,2.033786877505748,2.0976733391810374,1.3092176332671397,0.8840345017830158,28.578977069767657,221248805123200,1471069183
FPT,Q2/2024,15245226416020,0.2211,5651357322898,0.2196,2640452963597,0.2057999999999999,2668968551824,0.2032999999999999,1875158768537,0.2425,65286245628524,0.0787,40835231143696,0.0536,24451014484828,0.1234,31353291224627,0.0021,16024050830233,-0.1701,1196511155588.0,0.8634000000000001,32736443248309,0.1448,14604480660000,0.3225,24.72459445675001,6.242326891987167,12.425344563559994,1283.9612802342538,0.0803999999999999,18820.48295197852,0.3707,0.1848999999999999,0.2263,0.1501,0.2796,0.1363,0.2394959166506299,0.5858071227333078,250.55934185544183,71.14289898061678,148.9863358790783,172.7159049569803,0.9943,0.5041,-0.3131,2.051312685431306,2.0057340092549207,1.24234846935041,0.8532541257375529,22.97707901757182,196430264877000,1460448066
FPT,Q1/2024,14092928413699,0.2064,5510465680087,0.2064,2515527123032,0.1996,2533582054552,0.1946999999999999,1798030863528,0.2039,62024705048429,0.2224,37679149034489,0.2762,24345556013940,0.1475,29033182945777,0.2598999999999999,15984086694338,0.3272,1264421071488.0,0.9866,31727101031164,0.1724,12699688750000,0.1576,20.58871427690495,5.330887645027656,9.972421420512768,1231.150155481119,0.0469,18374.06530992592,0.391,0.1896,0.2334,0.1533,0.2769999999999999,0.1444,0.23037074933651,0.5583951058210379,251.42395851052703,73.35787003564958,149.88526049404726,174.89656805212934,0.9549,0.5204,-0.2541,1.9181691655995063,2.0471818501913357,1.2338552565842793,0.8463287430218204,23.86056266283745,198766981782600,1460448066
FPT,Q4/2023,14690412703323,0.1264,5631863560161,0.0745,2386698290464,0.2065,2435092799591,0.2243,1728399961335,0.2788,60325276051932,0.1678,36709543350385,0.1867,23615732701547,0.1397,29667280422306,0.2092,13837894474107,0.2689999999999999,709640675212.0,-0.6009,29948354954414,0.1817,12699688750000,0.1576,19.319241432495343,4.981200754285986,9.448026812004183,1360.9782061272958,0.1046,19677.773956248337,0.3834,0.1798,0.2259,0.1396,0.2819,0.1392,0.239965017632129,0.5997849846864592,232.8048015291556,67.51080470678065,126.77853879797094,173.53706743796533,1.0143,0.469,-0.3452,2.025284491301701,1.985891718856951,1.1836653638379728,0.8218940763743828,16.058603372381285,142998495325000,1269968875
FPT,Q3/2023,13761744975857,0.2344,5496368967016,0.2608,2438361031885,0.2231,2429150459859,0.1978,1739340360244,0.1964999999999999,62112676348644,0.1267,39531943273981,0.1209,22580733074663,0.1371,33050415339821,0.1517,18937892531470,0.1655,656605379125.0,-0.7234,28405655629698,0.1808,12699688750000,0.1576,18.651255404660446,4.485523921537609,9.157569195832746,1369.5929045851617,0.0335,18609.97104866448,0.3994,0.1957999999999999,0.2362999999999999,0.1508,0.2805999999999999,0.1256,0.2244304251421126,0.5878794867865701,237.20811786876413,83.59087424883491,139.97392479945262,180.8250673181464,1.1866,0.6728000000000001,-0.2697,2.234780702020656,1.8427222288955305,1.1429325584505827,0.8100297875357955,12.242700417618302,120266052462500,1269968875
FPT,Q2/2023,12484364264902,0.2366,4633824307037,0.2059,2189766371273,0.1926,2218132633347,0.1939,1509219531243,0.2066,60524394513231,0.0751,38758427341944,0.043,21765967171287,0.1374,31286939836444,0.0286,19307278156994,-0.0209,642126793723.0,-0.7398,28595327883064,0.2214,11043316220000,0.0067,16.17783950891289,3.959961982942292,8.019376850240798,1188.3909605603524,0.0423,19016.73097084604,0.3712,0.1946999999999999,0.2380999999999999,0.1485999999999999,0.2708,0.1205,0.2244066307958277,0.5575540257316263,250.0475228587769,95.62737896235254,152.05292751005092,193.6219743110785,1.1166,0.6827,-0.2506,2.2462349943070907,1.8955892201385796,1.1739776018536194,0.8530209927181023,13.998716513513964,122424999550000,1269968875
FPT,Q1/2023,11681378883303,0.2005,4567879000694,0.1555,2096933282136,0.1828999999999999,2120643647098,0.192,1493562580890,0.2055999999999999,50741161416448,-0.0874,29524492711606,-0.1937,21216668704842,0.1176,23043504756733,-0.2354,12043373564413,-0.4118,636477445725.0,-0.7458,27061179213990,0.1787,10970265720000,0.2087999999999999,16.678064156257097,4.198798297526287,8.015210161964138,1176.0507847215538,0.0414,17786.732477379304,0.391,0.1942,0.2379,0.1549,0.2698,0.1268999999999999,0.2281595736321823,0.5350138157485773,263.0128238277334,103.93269811762929,179.23641413050106,187.7091078148616,0.8751000000000001,0.4565999999999999,-0.1772,2.1259741195711994,2.142787143276697,1.1907556404744657,0.7442506631504897,18.776451952470502,95629596784500,1269981365
FPT,Q4/2022,13042426271109,0.2185,5241273784162,0.2801,1978262144383,0.1371,1989028630914,0.1299,1351601105816,0.0385,51655408644948,-0.038,30933924692832,-0.1191,20721483952116,0.1153,24534231146586,-0.177,10904344845014,-0.3874,1778196752621.0,-0.2786,25342980745741,0.1830999999999999,10970265720000,0.2087999999999999,15.61372681279478,4.105174999819333,7.708221243158981,1232.058675982554,-0.1409,19172.151986168115,0.4019,0.1644999999999999,0.2028,0.1242,0.2769999999999999,0.1229,0.2442801962874231,0.6193734867930827,220.32287083740957,97.17727927194636,171.1989531870887,146.3011969222672,1.0383,0.4886,-0.2799,2.2528857784756844,1.9631563017605371,1.1807232426886134,0.793839812241158,16.89606759182367,86884504502400,1097026572
FPT,Q3/2022,11148559020353,0.2777,4359485692257,0.341,1993657541909,0.2594,2028024819924,0.2377,1453716280969,0.2924,55127101516155,0.1427,35269474823622,0.1505,19857626692533,0.129,28697860823948,0.1084,16248169308008,0.0191,2373472362591.0,0.1694,24055768329616,0.1835999999999999,10970265720000,0.2087999999999999,18.95672411327752,4.764577628511812,9.429776003129296,1325.1422691783257,0.0692,18135.64586242401,0.391,0.1968,0.2377,0.1575,0.2891,0.1241,0.2001129708108052,0.5597364705412213,233.3241995008788,118.16045815797,182.8992855766919,168.58537208215685,1.2916,0.762,-0.2409,2.329252114777544,1.7742110126139568,1.1527451051746709,0.8407009079745029,15.9099452602129,84141938072400,1097026572
