STT;Mã;Tên công ty;Sàn;Phân ngành - L1;Phân ngành - L2;Phân ngành - L3;Phân ngành - L4;Phân ngành - L5;"Vốn hóa
(tỷ VNĐ)"
326;TTE;ĐT Năng lượng Trường Thịnh;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;741
327;VLW;Cấp nước Vĩnh Long;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;740
328;NQN;Nước sạch Quảng Ninh;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;701
329;KHP;Điện lực Khánh Hòa;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;700
330;HJS;Thủy điện Nậm Mu;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;661
331;PIC;Đầu tư Điện lực 3;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;647
332;NTH;Thủy điện Nước Trong;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;632
333;GSM;Thủy điện Hương Sơn;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;631
334;DRL;Thủy điện - Điện lực 3;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;581
335;DNC;Điện nước Hải Phòng;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;572
336;CLW;Cấp nước Chợ Lớn;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;564
337;POB;PVOIL Thái Bình;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;549
338;QPH;Thủy điện Quế Phong;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;539
339;NBT;Cấp thoát nước Bến Tre;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;526
340;NNT;Cấp nước Ninh Thuận;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;494
341;KHW;Cấp thoát nước Khánh Hòa;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;489
342;STW;Cấp nước Sóc Trăng;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;466
343;PWS;Cấp thoát nước Phú Yên;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;460
344;HDW;Nước sạch Hải Dương;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;446
345;PSH;TMại ĐT Dầu khí Nam Sông Hậu;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;408
346;PMG;ĐT và SX Petro Miền Trung;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;394
347;SP2;Thủy điện Sử Pán 2;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;382
348;TDW;Cấp nước Thủ Đức;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;374
349;BTW;Cấp nước Bến Thành;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;373
350;CCI;CIDICO;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;357
351;BDW;Cấp thoát nước Bình Định;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;350
352;BNW;Nước sạch Bắc Ninh;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;345
353;LAW;Cấp thoát nước Long An;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;342
354;TDB;Thủy điện Định Bình;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;339
355;QNW;Cấp thoát nước và XD Quảng Ngãi;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;338
356;HTC;Thương mại Hóc Môn;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;333
357;CHS;Chiếu sáng TPHCM;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Tiện ích khác;Tiện ích khác;327
358;DWS;Cấp nước Đồng Tháp;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;324
359;NBW;Cấp nước Nhà Bè;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;319
360;UIC;Phát triển Nhà và Đô thị IDICO;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;314
361;NAW;Cấp nước Nghệ An;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;295
362;BGW;Nước sạch Bắc Giang;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;290
363;GDW;Cấp nước Gia Định;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;276
364;PVG;Kinh doanh LPG Việt Nam;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;272
365;DWC;Cấp nước Đắk Lắk;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;271
366;DTE;Đại Trường Thành Holdings;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;259
367;NDW;Cấp nước Nam Định;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;257
368;SFC;Nhiên liệu Sài Gòn;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;247
369;XMP;Thủy điện Xuân Minh;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;245
370;PPT;Petro Times;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;235
371;HIO;Helio Energy;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;231
372;DDG;Đầu tư CN XNK Đông Dương;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;224
373;SMA;Thiết bị Phụ tùng Sài Gòn;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;208
374;PJS;Cấp nước Phú Hòa Tân;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;207
375;CMW;Cấp nước Cà Mau;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;207
376;NSL;Cấp nước Sơn La;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;203
377;PJC;TM và Vận tải Petrolimex HN;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;195
378;TOW;Cấp nước Trà Nóc - Ô Môn;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;190
379;HPD;Thủy điện Đăk Đoa;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;186
380;NTW;Cấp nước Nhơn Trạch;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;180
381;THN;Cấp nước Thanh Hóa;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;168
382;TNW;Nước sạch Thái Nguyên;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;162
383;NBP;Nhiệt điện Ninh Bình;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;157
384;NQT;Nước sạch Quảng Trị;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;155
385;BMF;VLXD và Chất đốt Đồng Nai;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;149
386;ASP;Dầu khí An Pha;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;143
387;NQB;Cấp nước Quảng Bình;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;138
388;TBW;Nước sạch Thái Bình;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;136
389;GLW;Cấp thoát nước Gia Lai;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;126
390;DVC;TM dịch vụ Cảng Hải Phòng;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;108
391;VPW;Cấp thoát nước số 1 Vĩnh Phúc;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;107
392;TMC;XNK Thủ Đức;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;104
393;PCG;Đầu tư PT Gas Đô thị;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;104
394;POV;PV Oil Vũng Áng;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;104
395;HFC;Xăng dầu HFC;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;96
396;TDG;Đầu tư TDG Global;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;93
397;SVH;Thủy điện Sông Vàng;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;89
398;UPC;Cây xanh Vũng Tàu;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Tiện ích khác;Tiện ích khác;88
399;HTE;Kinh doanh điện lực TP HCM;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;86
400;PPY;Xăng dầu dầu khí Phú Yên;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;84
401;MTG;MTGAS;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;84
402;KTW;Cấp nước Kon Tum;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;82
403;VXT;Kho vận và DV Thương mại;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;81
404;LKW;Cấp nước Long Khánh;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;75
405;NVP;Nước sạch Vĩnh Phúc;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;75
406;TAW;Cấp nước Trung An;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;74
407;TQW;Cấp thoát nước Tuyên Quang;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;73
408;GCB;PETEC Bình Định;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;73
409;VWS;Nước và Môi trường VN;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;71
410;THW;Cấp nước Tân Hòa;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;65
411;PTH;Vận tải và DV Petrolimex Hà Tây;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;56
412;PND;Xăng dầu Dầu khí Nam Định;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;54
413;VMG;Vimexco Gas;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;43
414;BWA;Cấp thoát nước và Xây dựng Bảo Lộc;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;32
415;DMS;Dầu khí DMC-miền Nam;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;32
416;NLS;Cấp thoát nước Lạng Sơn;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;24
417;DNN;Cấp nước Đà Nẵng;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;12
418;VJC;Vietjet Air;HOSE;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Dịch vụ hàng không;Dịch vụ Hàng không;56.436
419;HVN;Vietnam Airlines;HOSE;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Dịch vụ hàng không;Dịch vụ Hàng không;44.952
420;SCS;DV Hàng hóa Sài Gòn;HOSE;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Dịch vụ hàng không;Dịch vụ Hàng không;7.117
421;TSJ;Hanoi Toserco;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;2.034
422;DSP;Dịch vụ Du lịch Phú Thọ;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;1.365
423;HRT;Vận tải đường sắt Hà Nội;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;1.130
424;DSD;DHC Suối Đôi;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Dịch vụ giải trí;Dịch vụ giải trí;942
425;SKG;Tàu Cao tốc Superdong;HOSE;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường thủy;761
426;VNG;DL Thành Thành Công;HOSE;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Khách sạn;Khách sạn, resort;740
427;BSG;Xe khách Sài Gòn;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;714
428;VNS;Ánh Dương Việt Nam;HOSE;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;702
429;DSN;Công viên nước Đầm Sen;HOSE;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Dịch vụ giải trí;Dịch vụ giải trí;666
430;SRT;Vận tải Đường sắt Sài Gòn;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;594
431;VTR;Du lịch Vietravel;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;560
432;HES;Dịch vụ Giải trí Hà Nội;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Dịch vụ giải trí;Dịch vụ giải trí;532
433;SGH;Khách sạn Sài Gòn;HNX;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Khách sạn;Khách sạn, resort;305
434;BTV;DV Du lịch Bến Thành;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Công ty du lịch;289
435;DAH;Tập đoàn Khách sạn Đông Á;HOSE;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Khách sạn;Khách sạn, resort;261
436;DNT;Du lịch Đồng Nai;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Dịch vụ giải trí;Dịch vụ giải trí;255
437;RIC;Quốc tế Hoàng Gia;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Dịch vụ giải trí;Dịch vụ giải trí;253
438;HGT;Du lịch Hương Giang;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;234
439;TCT;Cáp treo Tây Ninh;HOSE;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;221
440;TTT;Du lịch - Thương Mại Tây Ninh;HNX;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;151
441;MAS;Sân bay Đà Nẵng;HNX;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;147
442;TPS;Bến bãi vận tải Sài Gòn;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;140
443;KLF;KLF Global;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Dịch vụ giải trí;Dịch vụ giải trí;132
444;EIN;Đầu tư - TM - DV Điện lực;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Khách sạn;Khách sạn, resort;120
445;VTG;Du lịch tỉnh BR-VT;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;119
446;HOT;Du lịch - DV Hội An;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;84
447;VTD;Du lịch Vietourist;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Công ty du lịch;83
448;PDC;Dầu khí Phương Đông;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;78
449;VTM;Đưa đón thợ mỏ - Vinacomin;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;71
450;ATS;Tập đoàn Đầu tư ATS;HNX;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Nhà hàng và quán bar;Nhà hàng và quán bar;63
451;NWT;Vận tải Newway;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;57
452;DLD;Du lịch Đắk Lắk;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Khách sạn;Khách sạn, resort;53
453;HHG;Vận tải Hoàng Hà;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;51
454;PGT;PGT Holdings;HNX;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;48
455;VIR;Du lịch Vũng Tàu;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Khách sạn;Khách sạn, resort;45
456;BCV;Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Khách sạn;Khách sạn, resort;39
457;BLN;Xe buýt Liên Ninh;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;37
458;DTI;Đầu tư Đức Trung;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Khách sạn;Khách sạn, resort;31
459;DXL;Du lịch và Xuất nhập khẩu Lạng Sơn;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Khách sạn;Khách sạn, resort;25
460;CTC;Tập đoàn Hoàng Kim Tây Nguyên;HNX;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;21
461;DLT;Du lịch và TM - Vinacomin;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;16
462;GTT;Thuận Thảo Group;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Dịch vụ giải trí;Dịch vụ giải trí;13
463;STT;Vận chuyển Sài Gòn Tourist;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Vận tải hành khách đường bộ;13
464;TSD;Du lịch Trường Sơn Coecco;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Vận tải hành khách & Du lịch;Công ty du lịch;7
465;ONW;Dịch vụ Một Thế giới;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Dịch vụ giải trí;Dịch vụ giải trí;7
466;MTC;Dịch Vụ Du Lịch Mỹ Trà;UPCoM;Dịch vụ Tiêu dùng;Du lịch và Giải trí;Du lịch & Giải trí;Nhà hàng và quán bar;Nhà hàng và quán bar;3
467;ACV;Cảng Hàng không VN;UPCoM;Công nghiệp;Hàng & Dịch vụ Công nghiệp;Vận tải;Kho bãi, hậu cần và bảo dưỡng;Cảng hàng không;254.638
468;VEA;Máy động lực và Máy NN;UPCoM;Công nghiệp;Hàng & Dịch vụ Công nghiệp;Công nghiệp nặng;Máy công nghiệp;Máy công nghiệp;58.281
469;MVN;TCT Hàng hải Việt Nam;UPCoM;Công nghiệp;Hàng & Dịch vụ Công nghiệp;Vận tải;Vận tải Thủy;Vận tải nội địa;40.485
470;GMD;Gemadept;HOSE;Công nghiệp;Hàng & Dịch vụ Công nghiệp;Vận tải;Kho bãi, hậu cần và bảo dưỡng;Dịch vụ kho bãi;25.957
471;GEX;Tập đoàn Gelex;HOSE;Công nghiệp;Hàng & Dịch vụ Công nghiệp;Điện tử & Thiết bị điện;Thiết bị điện;Thiết bị điện;17.575
